order_id;customer_id;employee_id;order_date;required_date;shipped_date;ship_via;freight;ship_name;ship_address;ship_city;ship_region;ship_postal_code;ship_country
831;VINET;5;04.07.1993;01.08.1993;16.07.1993;3;32,38;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France
832;TOMSP;6;05.07.1993;16.08.1993;10.07.1993;1;11,61;Toms Spezialitäten;Luisenstr. 48;Münster;;44087;Germany
833;HANAR;4;08.07.1993;05.08.1993;12.07.1993;2;65,83;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
834;VICTE;3;08.07.1993;05.08.1993;15.07.1993;1;41,34;Victuailles en stock;2, rue du Commerce;Lyon;;69004;France
835;SUPRD;4;09.07.1993;06.08.1993;11.07.1993;2;51,3;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium
836;HANAR;3;10.07.1993;24.07.1993;16.07.1993;2;58,17;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
837;CHOPS;5;11.07.1993;08.08.1993;23.07.1993;2;22,98;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland
838;RICSU;9;12.07.1993;09.08.1993;15.07.1993;3;148,33;Richter Supermarkt;Starenweg 5;Genève;;1204;Switzerland
839;WELLI;3;15.07.1993;12.08.1993;17.07.1993;2;13,97;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brazil
840;HILAA;4;16.07.1993;13.08.1993;22.07.1993;3;81,91;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
841;ERNSH;1;17.07.1993;14.08.1993;23.07.1993;1;140,51;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
842;CENTC;4;18.07.1993;15.08.1993;25.07.1993;3;3,25;Centro comercial Moctezuma;Sierras de Granada 9993;México D.F.;;5022;Mexico
843;OTTIK;4;19.07.1993;16.08.1993;29.07.1993;1;55,09;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Germany
844;QUEDE;4;19.07.1993;16.08.1993;30.07.1993;2;3,05;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
845;RATTC;8;22.07.1993;19.08.1993;25.07.1993;3;48,29;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
846;ERNSH;9;23.07.1993;20.08.1993;31.07.1993;3;146,06;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
847;FOLKO;6;24.07.1993;21.08.1993;23.08.1993;3;3,67;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Sweden
848;BLONP;2;25.07.1993;22.08.1993;12.08.1993;1;55,28;Blondel père et fils;24, place Kléber;Strasbourg;;67000;France
849;WARTH;3;26.07.1993;06.09.1993;31.07.1993;3;25,73;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
850;FRANK;4;29.07.1993;26.08.1993;06.08.1993;1;208,58;Frankenversand;Berliner Platz 43;München;;80805;Germany
851;GROSR;8;30.07.1993;27.08.1993;02.08.1993;3;66,29;GROSELLA-Restaurante;5ª Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela
852;WHITC;5;31.07.1993;14.08.1993;09.08.1993;1;4,56;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
853;WARTH;1;01.08.1993;29.08.1993;02.08.1993;1;136,54;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
854;SPLIR;6;01.08.1993;29.08.1993;30.08.1993;2;4,54;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
855;RATTC;6;02.08.1993;30.08.1993;06.08.1993;2;98,03;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
856;QUICK;3;05.08.1993;02.09.1993;12.08.1993;3;76,07;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Germany
857;VINET;6;06.08.1993;03.09.1993;16.08.1993;1;6,01;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France
858;MAGAA;1;07.08.1993;04.09.1993;09.08.1993;1;26,93;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy
859;TORTU;8;08.08.1993;22.08.1993;14.08.1993;3;13,84;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;5033;Mexico
860;MORGK;2;09.08.1993;06.09.1993;13.08.1993;3;125,77;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;4179;Germany
861;BERGS;8;12.08.1993;09.09.1993;16.08.1993;2;92,69;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Sweden
862;LEHMS;8;13.08.1993;10.09.1993;16.08.1993;2;25,83;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany
863;BERGS;2;14.08.1993;11.09.1993;12.09.1993;1;8,98;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Sweden
864;ROMEY;4;14.08.1993;28.08.1993;21.08.1993;1;2,94;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Spain
865;ROMEY;4;15.08.1993;12.09.1993;21.08.1993;1;12,69;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Spain
866;LILAS;3;16.08.1993;13.09.1993;23.08.1993;3;84,81;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
867;LEHMS;4;19.08.1993;16.09.1993;27.08.1993;1;76,56;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany
868;QUICK;1;20.08.1993;17.09.1993;26.08.1993;2;76,83;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Germany
869;QUICK;8;21.08.1993;18.09.1993;30.08.1993;3;229,24;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Germany
870;RICAR;8;22.08.1993;19.09.1993;28.08.1993;3;12,76;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
871;REGGC;4;23.08.1993;20.09.1993;03.09.1993;1;7,45;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Italy
872;BSBEV;7;26.08.1993;23.09.1993;28.08.1993;3;22,77;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;UK
873;COMMI;8;27.08.1993;24.09.1993;03.09.1993;1;79,7;Comércio Mineiro;Av. dos Lusíadas, 23;Sao Paulo;SP;05432-043;Brazil
874;QUEDE;6;27.08.1993;24.09.1993;04.09.1993;2;6,4;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
875;TRADH;1;28.08.1993;25.09.1993;02.09.1993;2;1,35;Tradiçao Hipermercados;Av. Inês de Castro, 414;Sao Paulo;SP;05634-030;Brazil
876;TORTU;1;29.08.1993;26.09.1993;11.09.1993;3;21,18;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;5033;Mexico
877;RATTC;4;30.08.1993;27.09.1993;05.09.1993;2;147,26;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
878;VINET;2;02.09.1993;30.09.1993;10.09.1993;2;1,15;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France
879;LILAS;6;03.09.1993;01.10.1993;11.09.1993;1;0,12;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
880;BLONP;5;04.09.1993;16.10.1993;10.09.1993;2;5,74;Blondel père et fils;24, place Kléber;Strasbourg;;67000;France
881;HUNGO;6;05.09.1993;03.10.1993;11.09.1993;2;168,22;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
882;RICAR;4;06.09.1993;04.10.1993;13.09.1993;2;29,76;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
883;MAGAA;2;09.09.1993;07.10.1993;18.09.1993;2;17,68;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy
884;WANDK;8;09.09.1993;07.10.1993;17.09.1993;2;45,08;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
